Angle	RealHeight	Ref. Height	Distortion
0	0	0	0
2	0.168422871	0.168422871	0
4	0.337257014	0.337257014	0
6	0.506917727	0.506917727	0
8	0.677828446	0.677828446	0
10	0.850425028	0.850425028	0
12	1.025160297	1.025160297	0
14	1.202508958	1.202508958	0
16	1.382972996	1.382972996	0
18	1.567087695	1.567087695	0
20	1.75542844	1.75542844	0
22	1.948618487	1.948618487	0
24	2.147337949	2.147337949	0
26	2.352334275	2.352334275	0
28	2.564434589	2.564434589	0
30	2.784560348	2.784560348	0
32	3.013744884	3.013744884	0
34	3.253154577	3.253154577	0
36	3.504114613	3.504114613	0
38	3.768140577	3.768140577	0
40	4.046977521	4.046977521	0
42	4.342648706	4.342648706	0
44	4.657516961	4.657516961	0
46	4.994362703	4.994362703	0
48	5.356484159	5.356484159	0
50	5.747827577	5.747827577	0
52	6.173158492	6.173158492	0
54	6.638290002	6.638290002	0
56	7.150391551	7.150391551	0
58	7.718413434	7.718413434	0
60	8.353681045	8.353681045	0
62	9.070743742	9.070743742	0
64	9.888615428	9.888615428	0
66	10.83263536	10.83263536	0
68	11.93734389	11.93734389	0
70	13.25108359	13.25108359	0
72	14.8436677	14.8436677	0
74	16.81979986	16.81979986	0
76	19.34399644	19.34399644	0
78	22.69043102	22.69043102	0
80	27.35259222	27.35259222	0
82	34.31742817	34.31742817	0
84	45.88777976	45.88777976	0
86	68.97211336	68.97211336	0
88	138.1126496	138.1126496	0
90	7.87333E+16	7.87333E+16	0
92	-138.1126496	-138.1126496	0
94	-68.97211336	-68.97211336	0


