Angle	RealHeight	Ref. Height	Distortion
0	0	0	0
0.1	0.0019	0.0019	-0.0001
0.2	0.0039	0.0039	-0.0003
0.3	0.0058	0.0058	-0.0007
0.4	0.0077	0.0077	-0.0013
0.5	0.0097	0.0097	-0.002
0.6	0.0116	0.0116	-0.0029
0.7	0.0135	0.0135	-0.0039
0.8	0.0155	0.0155	-0.0051
0.9	0.0174	0.0174	-0.0064
1	0.0193	0.0193	-0.008
1.1	0.0213	0.0213	-0.0096
1.2	0.0232	0.0232	-0.0115
1.3	0.0252	0.0252	-0.0134
1.4	0.0271	0.0271	-0.0156
1.5	0.029	0.029	-0.0179
1.6	0.031	0.031	-0.0204
1.7	0.0329	0.0329	-0.023
1.8	0.0348	0.0348	-0.0258
1.9	0.0368	0.0368	-0.0287
2	0.0387	0.0387	-0.0318
2.1	0.0406	0.0406	-0.0351
2.2	0.0426	0.0426	-0.0385
2.3	0.0445	0.0445	-0.0421
2.4	0.0464	0.0465	-0.0458
2.5	0.0484	0.0484	-0.0497
2.6	0.0503	0.0503	-0.0538
2.7	0.0522	0.0523	-0.058
2.8	0.0542	0.0542	-0.0624
2.9	0.0561	0.0562	-0.0669
3	0.0581	0.0581	-0.0716
3.1	0.06	0.06	-0.0765
3.2	0.0619	0.062	-0.0815
3.3	0.0639	0.0639	-0.0867
3.4	0.0658	0.0659	-0.092
3.5	0.0677	0.0678	-0.0975
3.6	0.0697	0.0697	-0.1032
3.7	0.0716	0.0717	-0.109
3.8	0.0735	0.0736	-0.115
3.9	0.0755	0.0756	-0.1211
4	0.0774	0.0775	-0.1274
4.1	0.0794	0.0795	-0.1339
4.2	0.0813	0.0814	-0.1405
4.3	0.0832	0.0833	-0.1473
4.4	0.0852	0.0853	-0.1542
4.5	0.0871	0.0872	-0.1613
4.6	0.089	0.0892	-0.1686
4.7	0.091	0.0911	-0.176
4.8	0.0929	0.0931	-0.1836
4.9	0.0949	0.095	-0.1913
5	0.0968	0.097	-0.1992
5.1	0.0987	0.0989	-0.2073
5.2	0.1007	0.1009	-0.2155
5.3	0.1026	0.1028	-0.2239
5.4	0.1045	0.1048	-0.2325
5.5	0.1065	0.1067	-0.2412
5.6	0.1084	0.1087	-0.2501
5.7	0.1104	0.1106	-0.2591
5.8	0.1123	0.1126	-0.2683
5.9	0.1142	0.1146	-0.2777
6	0.1162	0.1165	-0.2872
6.1	0.1181	0.1185	-0.2969
6.2	0.1201	0.1204	-0.3067
6.3	0.122	0.1224	-0.3167
6.4	0.1239	0.1243	-0.3269
6.5	0.1259	0.1263	-0.3372
6.6	0.1278	0.1283	-0.3477
6.7	0.1298	0.1302	-0.3584
6.8	0.1317	0.1322	-0.3692
6.9	0.1336	0.1341	-0.3802
7	0.1356	0.1361	-0.3913
7.1	0.1375	0.1381	-0.4026
7.2	0.1395	0.14	-0.4141
7.3	0.1414	0.142	-0.4257
7.4	0.1433	0.144	-0.4375
7.5	0.1453	0.1459	-0.4495
7.6	0.1472	0.1479	-0.4616
7.7	0.1492	0.1499	-0.4739
7.8	0.1511	0.1518	-0.4864
7.9	0.1531	0.1538	-0.499
8	0.155	0.1558	-0.5117
8.1	0.1569	0.1578	-0.5247
8.2	0.1589	0.1597	-0.5378
8.3	0.1608	0.1617	-0.5511
8.4	0.1628	0.1637	-0.5645
8.5	0.1647	0.1657	-0.5781
8.6	0.1667	0.1676	-0.5919
8.7	0.1686	0.1696	-0.6058
8.8	0.1705	0.1716	-0.6199
8.9	0.1725	0.1736	-0.6342
9	0.1744	0.1756	-0.6486
9.1	0.1764	0.1776	-0.6632
