Y_Angle(deg)	Real Height (Sensor)	Ref height (IQ chart)	Distortion(%)
0.00	0	0	0
0.85	0.01601217	0.01601242	-0.00154706
1.70	0.0320299	0.03203188	-0.00619347
2.55	0.04805876	0.04806547	-0.01395499
3.40	0.06410431	0.06412025	-0.02485792
4.25	0.08017213	0.08020336	-0.03893923
5.10	0.0962678	0.09632198	-0.05624666
5.95	0.1123969	0.11248333	-0.07683891
6.80	0.12856504	0.12869475	-0.10078581
7.65	0.14477783	0.14496362	-0.12816859
8.50	0.16104088	0.16129747	-0.15908017
9.35	0.17735983	0.17770391	-0.19362543
10.20	0.19374034	0.19419071	-0.23192162
11.05	0.21018805	0.21076576	-0.27409875
11.90	0.22670866	0.22743714	-0.32030003
12.75	0.24330784	0.24421309	-0.37068233
13.60	0.25999129	0.26110206	-0.42541675
14.45	0.27676473	0.27811271	-0.48468918
15.30	0.29363386	0.29525393	-0.54870088
16.15	0.31060442	0.31253485	-0.6176692
17.00	0.32768212	0.32996491	-0.69182822
17.85	0.34487267	0.34755381	-0.77142955
18.70	0.3621818	0.36531158	-0.85674307
19.55	0.37961519	0.38324861	-0.94805779
20.40	0.39717853	0.40137564	-1.04568271
21.25	0.41487744	0.41970382	-1.14994769
22.10	0.43271755	0.43824471	-1.26120442
22.95	0.4507044	0.45701036	-1.37982736
23.80	0.4688435	0.47601328	-1.5062147
24.65	0.48714025	0.49526653	-1.64078939
25.50	0.50560001	0.51478375	-1.78400008
26.35	0.52422799	0.53457917	-1.93632217
27.20	0.54302932	0.55466768	-2.09825873
28.05	0.56200895	0.57506489	-2.27034147
28.90	0.58117172	0.59578716	-2.45313161
29.75	0.60052224	0.61685167	-2.64722073
30.60	0.62006497	0.63827648	-2.85323154
31.45	0.6398041	0.66008058	-3.07181847
32.30	0.65974361	0.68228401	-3.30366827
33.15	0.67988717	0.70490788	-3.54950034
34.00	0.70023818	0.7279745	-3.81006696
34.85	0.72079971	0.75150745	-4.08615332
35.70	0.74157446	0.77553171	-4.37857733
36.55	0.76256476	0.80007373	-4.68818917
37.40	0.78377257	0.82516161	-5.0158706
38.25	0.80519938	0.85082517	-5.36253401
39.10	0.82684626	0.87709616	-5.72912115
39.95	0.8487138	0.90400839	-6.11660156
40.80	0.87080211	0.93159792	-6.52597072
41.65	0.89311082	0.95990327	-6.95824784
42.50	0.91563902	0.98896561	-7.41447341
43.35	0.9383853	1.01882905	-7.89570642
44.20	0.96134774	1.04954089	-8.40302136
45.05	0.9845239	1.0811519	-8.93750496
45.90	1.00791081	1.11371671	-9.50025276
46.75	1.03150504	1.14729416	-10.09236549
47.60	1.05530267	1.18194772	-10.71494548
48.45	1.0792993	1.21774597	-11.36909283
49.30	1.10349014	1.25476316	-12.05590184
50.15	1.12786998	1.29307977	-12.77645734
51.00	1.15243325	1.33278323	-13.53183124
51.85	1.17717407	1.37396869	-14.32307931
52.70	1.20208626	1.41673989	-15.15123816
53.55	1.22716343	1.46121017	-16.01732255
54.40	1.25239898	1.50750361	-16.92232303
55.25	1.27778618	1.55575635	-17.86720402
56.10	1.30331823	1.60611811	-18.85290214
56.95	1.32898827	1.65875394	-19.88032513
57.80	1.35478944	1.71384624	-20.950351
58.65	1.38071497	1.7715971	-22.06382771
59.50	1.40675819	1.83223107	-23.2215732
60.35	1.43291259	1.89599835	-24.42437575
61.20	1.45917188	1.96317862	-25.6729947
62.05	1.48553003	2.03408549	-26.96816155
62.90	1.51198133	2.10907182	-28.31058124
63.75	1.53852046	2.18853612	-29.70093375
64.60	1.56514251	2.27293014	-31.13987592
65.45	1.59184309	2.36276809	-32.62804349
66.30	1.61861836	2.45863789	-34.16605334
67.15	1.64546513	2.56121485	-35.75450589
68.00	1.67238096	2.67127852	-37.3939878
68.85	1.69936421	2.78973372	-39.08507472
69.70	1.72641422	2.91763668	-40.82833452
70.55	1.75353138	3.05622819	-42.62433056
71.40	1.78071736	3.20697575	-44.47362557
72.25	1.80797522	3.37162784	-46.37678577
73.10	1.83530966	3.55228459	-48.33438568
73.95	1.86272729	3.75149094	-50.34701359
74.80	1.89023691	3.97236094	-52.41527787
75.65	1.91784991	4.21874633	-54.53981442
76.50	1.94558068	4.49546883	-56.72129541
77.35	1.97344715	4.80864595	-58.96043976
78.20	2.0014715	5.16615773	-61.25802574
79.05	2.0296809	5.57833081	-63.61490616
79.90	2.05810861	6.05896799	-66.03202698
80.75	2.08679525	6.62694532	-68.51045018
81.60	2.11579049	7.30877897	-71.05138218
82.45	2.14515534	8.14292595	-73.65620961
83.30	2.17496518	9.18735851	-76.326545
84.15	2.20531405	10.53374191	-79.06428628
85.00	2.23632083	12.33607345	-81.87169653
85.44	2.25267856	13.53219374	-83.35319014
86.33	2.28653809	16.8263833	-86.41099489
87.22	2.32166658	22.22621811	-89.55437865
88.11	2.35845027	32.7063436	-92.78901275
89.00	2.39746728	61.83114091	-96.12255694
