Y Angle (deg)	Real Height	Ref. Height	Distortion
0.00000000	0.00000000	0.00000000	0.0000000000
0.46570010	0.01627627	0.01627618	0.0000054559
0.93140019	0.03255523	0.03255452	0.0000218246
1.39710029	0.04883955	0.04883715	0.0000491086
1.86280039	0.06513193	0.06512625	0.0000873119
2.32850048	0.08143506	0.08142396	0.0001364405
2.79420058	0.09775164	0.09773244	0.0001965025
3.25990068	0.11408438	0.11405387	0.0002675077
3.72560078	0.13043599	0.13039042	0.0003494687
4.19130087	0.14680919	0.14674427	0.0004424004
4.65700097	0.16320673	0.16311761	0.0005463206
5.12270107	0.17963136	0.17951266	0.0006612503
5.58840116	0.19608585	0.19593161	0.0007872140
6.05410126	0.21257298	0.21237670	0.0009242403
6.51980136	0.22909557	0.22885016	0.0010723618
6.98550145	0.24565645	0.24535427	0.0012316159
7.45120155	0.26225846	0.26189127	0.0014020451
7.91690165	0.27890448	0.27846348	0.0015836976
8.38260175	0.29559742	0.29507319	0.0017766275
8.84830184	0.31234023	0.31172274	0.0019808954
9.31400194	0.32913585	0.32841447	0.0021965689
9.77970204	0.34598732	0.34515077	0.0024237227
10.24540213	0.36289765	0.36193402	0.0026624397
10.71110223	0.37986994	0.37876667	0.0029128107
11.17680233	0.39690732	0.39565115	0.0031749352
11.64250242	0.41401295	0.41258996	0.0034489215
12.10820252	0.43119005	0.42958559	0.0037348872
12.57390262	0.44844189	0.44664060	0.0040329593
13.03960271	0.46577180	0.46375757	0.0043432746
13.50530281	0.48318315	0.48093910	0.0046659793
13.97100291	0.50067940	0.49818784	0.0050012296
14.43670301	0.51826403	0.51550649	0.0053491916
14.90240310	0.53594064	0.53289777	0.0057100405
15.36810320	0.55371285	0.55036445	0.0060839612
15.83380330	0.57158437	0.56790935	0.0064711474
16.29950339	0.58955900	0.58553532	0.0068718011
16.76520349	0.60764060	0.60324528	0.0072861323
17.23090359	0.62583312	0.62104218	0.0077143579
17.69660368	0.64414059	0.63892904	0.0081567008
18.16230378	0.66256713	0.65690891	0.0086133892
18.62800388	0.68111694	0.67498493	0.0090846547
19.09370397	0.69979433	0.69316028	0.0095707315
19.55940407	0.71860369	0.71143819	0.0100718546
20.02510417	0.73754951	0.72982197	0.0105882580
20.49080427	0.75663639	0.74831500	0.0111201729
20.95650436	0.77586901	0.76692071	0.0116678256
21.42220446	0.79525217	0.78564263	0.0122314352
21.88790456	0.81479076	0.80448434	0.0128112115
22.35360465	0.83448979	0.82344951	0.0134073523
22.81930475	0.85435436	0.84254189	0.0140200405
23.28500485	0.87438968	0.86176530	0.0146494421
23.75070494	0.89460109	0.88112368	0.0152957025
24.21640504	0.91499399	0.90062103	0.0159589442
24.68210514	0.93557393	0.92026145	0.0166392638
25.14780524	0.95634654	0.94004916	0.0173367286
25.61350533	0.97731757	0.95998846	0.0180513742
26.07920543	0.99849287	0.98008376	0.0187832012
26.54490553	1.01987840	1.00033959	0.0195321724
27.01060562	1.04148020	1.02076059	0.0202982105
27.47630572	1.06330445	1.04135152	0.0210811948
27.94200582	1.08535741	1.06211726	0.0218809592
28.40770591	1.10764543	1.08306283	0.0226972900
28.87340601	1.13017497	1.10419339	0.0235299237
29.33910611	1.15295261	1.12551421	0.0243785455
29.80480620	1.17598499	1.14703074	0.0252427875
30.27050630	1.19927888	1.16874856	0.0261222278
30.73620640	1.22284114	1.19067344	0.0270163899
31.20190650	1.24667871	1.21281127	0.0279247413
31.66760659	1.27079867	1.23516815	0.0288466944
32.13330669	1.29520816	1.25775034	0.0297816058
32.59900679	1.31991447	1.28056429	0.0307287771
33.06470688	1.34492496	1.30361666	0.0316874553
33.53040698	1.37024711	1.32691429	0.0326568343
33.99610708	1.39588854	1.35046425	0.0336360556
34.46180717	1.42185697	1.37427382	0.0346242100
34.92750727	1.44816024	1.39835052	0.0356203393
35.39320737	1.47480635	1.42270210	0.0366234382
35.85890746	1.50180341	1.44733658	0.0376324560
36.32460756	1.52915970	1.47226221	0.0386462993
36.79030766	1.55688366	1.49748756	0.0396638342
37.25600776	1.58498388	1.52302144	0.0406838886
37.72170785	1.61346915	1.54887300	0.0417052552
38.18740795	1.64234843	1.57505168	0.0427266943
38.65310805	1.67163091	1.60156725	0.0437469365
39.11880814	1.70132598	1.62842983	0.0447646859
39.58450824	1.73144327	1.65564990	0.0457786221
40.05020834	1.76199265	1.68323830	0.0467874019
40.51590843	1.79298427	1.71120630	0.0477896584
40.98160853	1.82442851	1.73956555	0.0487839969
41.44730863	1.85633604	1.76832814	0.0497689828
41.91300873	1.88871772	1.79750663	0.0507431180
42.37870882	1.92158460	1.82711404	0.0517047972
42.84440892	1.95494772	1.85716390	0.0526522291
43.31010902	1.98881787	1.88767026	0.0535833022
43.77580911	2.02320513	1.91864773	0.0544953594
44.24150921	2.05811808	1.95011150	0.0553848250
44.70720931	2.09356246	1.98207736	0.0562465958
45.17290940	2.12953895	2.01456175	0.0570730557
45.63860950	2.16603953	2.04758180	0.0578525021
46.10430960	2.20304167	2.08115534	0.0585666657
46.57000969	2.24049905	2.11530095	0.0591868942
